Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,success,tau_prior_mode,t_peak,t_peak_repr,mu_tau_prior,sig_tau_prior,flat_ratio,tau_fixed,lambda_med,lambda_q025,lambda_q975,lambda_q16,lambda_q84,tau_med,tau_q025,tau_q975,tau_q16,tau_q84,beta_med,beta_q025,beta_q975,beta_q16,beta_q84
S3_tau_fixed_1,F44,10,0.0,420.0,0.6848194444444444,0.006785193925549335,True,,,,,,,1.0,0.0022495683219788754,0.0019205969358884055,0.0027011516323240483,0.0020646791518597442,0.002462515323493377,1.0,1.0,1.0,1.0,1.0,0.47327191965463594,0.10839052624618709,0.9169731716849383,0.2718077433303587,0.68881205000827
S3_tau_fixed_1,F45,10,0.0,420.0,0.6603680555555554,0.01123519330901699,True,,,,,,,1.0,0.0012531924251404343,0.001094117907806488,0.0016513340047948333,0.001157462304539535,0.0014138046838024676,1.0,1.0,1.0,1.0,1.0,0.46795648958163866,0.020852143899426943,1.72854418719096,0.13733950689792454,1.0155106967819207
S3_tau_fixed_1,F46,10,0.0,420.0,0.7089374999999999,0.03276785716162964,True,,,,,,,1.0,0.003320479086615019,0.00258646547401278,0.004465989724217679,0.0029077163078312872,0.003840703834357502,1.0,1.0,1.0,1.0,1.0,1.4440565693436258,0.843603094023062,2.1793871827613223,1.1242934731595065,1.8040097797899761
S3_tau_fixed_1,F47,10,0.0,420.0,0.6546319444444444,0.011467446534699695,True,,,,,,,1.0,0.0014671995805284606,0.0012396331533666273,0.0019775695352173142,0.001322694116725445,0.0016760411195538148,1.0,1.0,1.0,1.0,1.0,0.6268848770558807,0.04158947302547474,1.8118126276379427,0.23171934341642297,1.1704454231735129
S3_tau_fixed_1,F48,10,0.0,420.0,0.6557569444444444,0.009942250477096652,True,,,,,,,1.0,0.0013380007984069148,0.0011221510782546565,0.001854147115941412,0.0012006291185255426,0.0015574345641221946,1.0,1.0,1.0,1.0,1.0,0.7437618387718028,0.04763558733454261,2.2289100860813034,0.27042388125561295,1.4196207223013018
S3_tau_fixed_1,F49,10,0.0,420.0,0.6243472222222222,0.023794739848694728,True,,,,,,,1.0,9.352058359609988,0.4289370844656805,91.9700972718387,1.1795554042905467,54.764888667707,1.0,1.0,1.0,1.0,1.0,3.6688711777714436,2.118204887683799,4.796959438946288,2.7178399816542544,4.408242995793756
S3_tau_fixed_1,F5,10,0.0,420.0,0.6440902777777778,0.01070819225854357,True,,,,,,,1.0,0.00112099969207835,0.0007255101036880903,0.002235244987066834,0.0008551863198566443,0.001580644724681074,1.0,1.0,1.0,1.0,1.0,3.442983165312926,0.30755389643230635,8.73282838556065,1.4245761535599646,6.08367171376799
S3_tau_fixed_1,F50,10,0.0,420.0,0.7055694444444445,0.009956768937080116,True,,,,,,,1.0,0.17630734878704157,0.10845439063522003,0.357220652575735,0.1356412450157801,0.24283253626577458,1.0,1.0,1.0,1.0,1.0,1.8052504736291355,1.2944275481991363,2.369715559389996,1.5449755977254478,2.0827063469638416
S3_tau_fixed_1,F51,10,0.0,420.0,0.6837569444444446,0.014869235247698613,True,,,,,,,1.0,0.0017057244600421132,0.0015869273745854442,0.0019358785621508645,0.0016392454116574361,0.001802535406050156,1.0,1.0,1.0,1.0,1.0,0.11880220294776926,0.005407080425699448,0.48122835662624636,0.03276286510546899,0.2729373457184969
S3_tau_fixed_1,F52,10,0.0,420.0,0.6762152777777778,0.011983378433227597,True,,,,,,,1.0,0.0017177481075959767,0.0015831502588505,0.0019870660338289032,0.001640015632851458,0.001831979896371846,1.0,1.0,1.0,1.0,1.0,0.1533470156042336,0.007945047486747672,0.5729528302513832,0.045299397277971186,0.3361855820746753
S3_tau_fixed_1,F53,10,0.0,420.0,0.6865347222222221,0.014573989953275508,True,,,,,,,1.0,0.0016949835848753102,0.0015759351465829898,0.001922986675419288,0.0016282590996575957,0.001790879934038201,1.0,1.0,1.0,1.0,1.0,0.1164393946327245,0.006056824106510223,0.47181543060281067,0.0324334007615032,0.2710895307376872
S3_tau_fixed_1,F54,10,0.0,420.0,0.6687708333333333,0.009151208204984872,True,,,,,,,1.0,0.001999699686415453,0.0018339417913779692,0.002313153028606933,0.0019004468038562117,0.0021407443495859643,1.0,1.0,1.0,1.0,1.0,0.17321792968195354,0.009044113292627545,0.5144161184682736,0.058101179873190995,0.3302197585152948
S3_tau_fixed_1,F55,10,0.0,420.0,0.6815763888888888,0.014640346945456366,True,,,,,,,1.0,0.0016437305065142445,0.0015201689902057055,0.0018846921664828304,0.0015733505778283729,0.0017469134098973345,1.0,1.0,1.0,1.0,1.0,0.1340211554515123,0.006256157889906395,0.5413910912092786,0.0370029891021618,0.31441762597613915
S3_tau_fixed_1,F56,10,0.0,420.0,0.6700138888888888,0.008402876113979727,True,,,,,,,1.0,0.0018803526924275615,0.00172961826817519,0.002177408169738068,0.001791390467474691,0.002011215190815368,1.0,1.0,1.0,1.0,1.0,0.1649603482930741,0.007999571935037201,0.5447811579518589,0.04965008605357863,0.335991041183176
S3_tau_fixed_1,F57,10,0.0,420.0,0.6713472222222222,0.008208836591348422,True,,,,,,,1.0,0.001909363408873438,0.0017549529757953208,0.0022127563694537304,0.001816942492766877,0.0020442194637786642,1.0,1.0,1.0,1.0,1.0,0.16554267067254902,0.009617040785001151,0.5369703541837679,0.0537009673146008,0.33664898836913265
S3_tau_fixed_1,F58,10,0.0,420.0,0.6616736111111111,0.006395530293119022,True,,,,,,,1.0,0.0019437931522408775,0.0017624594582986346,0.0022912983592632287,0.0018331185628404523,0.00210275880407637,1.0,1.0,1.0,1.0,1.0,0.21659429862100682,0.013217411905264058,0.6267467568469911,0.071937860024844,0.41080747922042443
S3_tau_fixed_1,F59,10,0.0,420.0,0.673326388888889,0.008129728233233678,True,,,,,,,1.0,0.0022645551444990873,0.0020179328016808134,0.002639436094634358,0.0021196706534585144,0.002436936751807401,1.0,1.0,1.0,1.0,1.0,0.25703218920189536,0.028310946411531056,0.5818754630393597,0.1195675143170477,0.41010273418922105
S3_tau_fixed_1,F6,10,0.0,420.0,0.670951388888889,0.01350026267382681,True,,,,,,,1.0,0.001682839465755736,0.0010191600013673492,0.003347455624619447,0.0012742469315452113,0.002345053343447247,1.0,1.0,1.0,1.0,1.0,3.862692984162872,0.9462476953385269,7.98262508949121,2.235802660272442,5.825021792489501
S3_tau_fixed_1,F60,10,0.0,420.0,0.6797361111111111,0.011376031784538092,True,,,,,,,1.0,0.001969209988244444,0.0018324771909675119,0.0022263955018665257,0.0018906400186770042,0.0020813465140821913,1.0,1.0,1.0,1.0,1.0,0.11304211788024895,0.00639447078359776,0.40109097060573856,0.03340602936231583,0.24171775646516683
S3_tau_fixed_1,F61,10,0.0,420.0,0.672798611111111,0.009512853293451008,True,,,,,,,1.0,0.0019720004745261838,0.0018314144386436296,0.002247008186483048,0.0018906437975699617,0.0020929369766054823,1.0,1.0,1.0,1.0,1.0,0.12060075705548418,0.0064568668152201305,0.42641131185676096,0.03494856918168547,0.2595010625657012
S3_tau_fixed_1,F62,10,0.0,420.0,0.6695833333333333,0.009775215227632373,True,,,,,,,1.0,0.0020314238693249866,0.0018779903746942391,0.0023219331220687756,0.0019406837409860003,0.002162272206665028,1.0,1.0,1.0,1.0,1.0,0.1341299391730729,0.006725313129419752,0.4345748822889812,0.04123198076845409,0.2759638690441793
S3_tau_fixed_1,F63,10,0.0,420.0,0.6770208333333333,0.010953924850960164,True,,,,,,,1.0,0.0018608411961194902,0.0017249107407970774,0.0021244884075903156,0.0017819774419218293,0.0019772887190545527,1.0,1.0,1.0,1.0,1.0,0.135874512035129,0.007407841615899802,0.4735359042059055,0.04001917534674156,0.2868103910397662
S3_tau_fixed_1,F64,10,0.0,420.0,0.6741597222222223,0.005676050421056369,True,,,,,,,1.0,0.0022547402199206406,0.0020276930677800963,0.002620561536793978,0.002118803921290365,0.002426391230296403,1.0,1.0,1.0,1.0,1.0,0.22553894960431065,0.025953760148876886,0.5432747255499788,0.10044171511246183,0.37656890152473
S3_tau_fixed_1,F65,10,0.0,420.0,0.6801180555555556,0.007718529737391426,True,,,,,,,1.0,0.0023991097193592466,0.002146727333629103,0.0027645124278766436,0.002253518384608829,0.0025712156419001684,1.0,1.0,1.0,1.0,1.0,0.23565936050156744,0.03475056198074717,0.5131178081631476,0.11734607153006447,0.3697265311680976
S3_tau_fixed_1,F66,10,0.0,420.0,0.6732847222222222,0.006653708751234281,True,,,,,,,1.0,0.002336825865251849,0.0021017212983835123,0.002701656007246717,0.0021982223691865074,0.0025077429413629714,1.0,1.0,1.0,1.0,1.0,0.2223569914885248,0.02662823229240626,0.5084715781702841,0.10270426193287283,0.36021700100151194
S3_tau_fixed_1,F67,10,0.0,420.0,0.668888888888889,0.008733865413529175,True,,,,,,,1.0,0.002218389748633504,0.002030962515772932,0.0025411908859037267,0.0021062131573521947,0.0023687845585762873,1.0,1.0,1.0,1.0,1.0,0.16214758520784042,0.011233162713158718,0.44174412569435617,0.06021970315427817,0.2932293326837821
S3_tau_fixed_1,F68,10,0.0,420.0,0.6844861111111111,0.014335053829740388,True,,,,,,,1.0,0.0017384171942142305,0.001617944245140585,0.0019687819004568534,0.0016707309571454968,0.0018382458000752698,1.0,1.0,1.0,1.0,1.0,0.1168940327548457,0.005583222421442093,0.46032285788617294,0.03309924256847141,0.2672312548593205
S3_tau_fixed_1,F69,10,0.0,420.0,0.6773750000000001,0.01039587141382405,True,,,,,,,1.0,0.00209112801991606,0.0019500220083565139,0.0023569572695682954,0.002009010038811847,0.0022119862835212243,1.0,1.0,1.0,1.0,1.0,0.10645839300771813,0.006210824885473784,0.36432111446467874,0.033047702775052874,0.22430707713393008
