Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975
S3_tau_fixed_1_n1,F43,10,0.0,420.0,0.6682361111111111,0.00877809939929279,0.0014327442236425302,0.0014959820132127446,0.0015920015276848,0.0017367387430549683,0.0019279918909057467,0.01289519748010654,0.0804834166875634,0.2680422963151735,0.5556284619306764,0.9008743711571222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F44,10,0.0,420.0,0.6845902777777777,0.006602817329671888,0.001918395064358933,0.002063125418500237,0.002241623973660708,0.0024565733688846243,0.0027102484486064542,0.10433331983291931,0.2706306499563076,0.4629676912252057,0.6823533274114769,0.9172283837520968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F45,10,0.0,420.0,0.6649305555555556,0.011341519131147108,0.001093091668326796,0.0011580163132644972,0.001256276823503251,0.001418789916939573,0.0016466890177490366,0.023869168819957667,0.1437477854849809,0.4765225644170664,1.0306064668705357,1.7220820791245872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F46,10,0.0,420.0,0.7081805555555555,0.032779347789193565,0.002591943814899051,0.002911302880186737,0.003322387471181713,0.003841941861728921,0.004455977944512361,0.8485068876218568,1.12481449057153,1.449074172074332,1.7982716082679806,2.1742378526781607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F47,10,0.0,420.0,0.6561180555555556,0.011489393604840999,0.0012416679840296394,0.0013232710132590807,0.001465734181532378,0.0016751984815549662,0.0019621358029423617,0.04083220016466383,0.23574355972331865,0.6307030083723604,1.160646714328391,1.788527125912255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F48,10,0.0,420.0,0.6522152777777778,0.009953900491272977,0.0011185047810137532,0.0011980680670946422,0.001339540905417205,0.0015575529984981618,0.001848855265789787,0.0425605848203804,0.25754790259451943,0.7450599907958513,1.4121897528803058,2.2120959045072306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F49,10,0.0,420.0,0.6277222222222222,0.02342239323763098,0.4231436879882457,1.1247284917031182,8.524844798891394,52.207468662024944,90.56392215857481,2.1118031311545957,2.686650121337784,3.628643774328693,4.380497908677738,4.7838478585130355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F5,10,0.0,420.0,0.6477361111111111,0.01063326373258852,0.0007233478615120988,0.0008506437430884576,0.001116060262333123,0.0015718174116131716,0.0021941816073237958,0.2929753772092815,1.3921769550569734,3.4179667192610927,6.002433657533853,8.652763955200086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F50,10,0.0,420.0,0.7054027777777779,0.009894754923136583,0.1077442075435578,0.13455251716107045,0.17551375343881986,0.24124356048082837,0.35698581444506333,1.2798034397823064,1.5337090696042464,1.798629093741471,2.075582319685939,2.3684481893979967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F51,10,0.0,420.0,0.6825763888888888,0.01496775747921338,0.0015859430915185295,0.0016395962558018778,0.0017085126185976433,0.0018084768009080329,0.0019447144614330232,0.005872616115156138,0.03379900562900716,0.12096119469001654,0.28096503121159455,0.49219017306127255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
