Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975
S4_lambda_only_tau1_beta1_n1,F2,10,0.0,420.0,0.8084861111111112,0.008030759127245737,0.0010607974221350579,0.0011198359641412727,0.0011809322722126712,0.0012450089541605998,0.0013072554928942883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F20,10,0.0,420.0,0.8066805555555555,0.05258395467042539,0.005153623272084716,0.005330692249959068,0.00551540325367738,0.005708892996836273,0.00590512036410153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F21,10,0.0,420.0,0.8074722222222221,0.04315550243889987,0.0027079859112248434,0.0028065939328572997,0.002907465362965025,0.0030107302726435116,0.0031168089345985552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F22,10,0.0,420.0,0.8069166666666666,0.04386070237695557,0.005683207763295105,0.005892760685970151,0.0061174612162019,0.006348306357037624,0.006591139667027642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F23,10,0.0,420.0,0.8075625000000001,0.03311047470969503,0.00299437539084434,0.003101164257738995,0.0032109346108529805,0.0033233935858323353,0.0034348449398795564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F24,10,0.0,420.0,0.8073888888888888,0.04206062529319852,0.0027577336427602006,0.002854980491111789,0.002957569579031449,0.003062588343562793,0.0031671295328220854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F25,10,0.0,420.0,0.7316249999999999,0.025939988434847065,0.7606790237877828,13.537332584908878,47.92497627253799,82.8621809278144,97.26911544292022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F26,10,0.0,420.0,0.7316805555555556,0.022875030054625073,0.9326074256671917,13.766223363436897,48.02340313067408,83.59321535819944,97.32702260454175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F27,10,0.0,420.0,0.8089861111111111,0.043004390409270746,0.00570698600248465,0.005907826304585402,0.006118165796530555,0.006339861186174929,0.006567630352212668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F28,10,0.0,420.0,0.8097291666666666,0.06277362008732523,0.0049497022941804554,0.005114613170669996,0.005290725283851207,0.005471258667062485,0.0056534812056451555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F29,10,0.0,420.0,0.8070763888888889,0.017162608184508002,0.0014148178803747732,0.0014816693956654524,0.0015513833986355748,0.0016217363795608649,0.001692976739181913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F3,10,0.0,420.0,0.8065972222222223,0.009494278881323462,0.0006919444159936865,0.0007443948809694916,0.0007999728749689616,0.0008566023482831388,0.0009112247063534573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F30,10,0.0,420.0,0.8102916666666667,0.02889097756886463,0.0015709451385673642,0.0016399320553194307,0.0017109621396076804,0.0017835042206736506,0.0018559204057460102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F31,10,0.0,420.0,0.8058194444444444,0.014982194304217883,0.0012400165798631322,0.0013031744462454115,0.0013690533212987696,0.0014363062441786311,0.0015035178927247182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F32,10,0.0,420.0,0.8073055555555557,0.010814965566135168,0.0012302345788995583,0.0012922930556208486,0.0013569281015146186,0.001424397540609035,0.00149130315858231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
