hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
11,4,relu,0.0,True,0.01,0.08504868165583603,0.03311584662537578
11,4,relu,0.0,True,0.02,0.07857369867960942,0.030071372901226325
11,4,relu,0.0,True,0.03,0.06349687013258548,0.02223817167539196
11,4,relu,0.1,True,0.01,0.07769167030569835,0.023148816741573926
11,4,relu,0.1,True,0.02,0.08436568599310926,0.027946021266354096
11,4,relu,0.1,True,0.03,0.07590634699232675,0.020507146620969446
11,4,tanh,0.0,True,0.01,0.060853805633026586,0.016323105051757568
11,4,tanh,0.0,True,0.02,0.08216932142958992,0.030214135000506844
11,4,tanh,0.0,True,0.03,0.07648857221377095,0.03033477722146606
11,4,tanh,0.1,True,0.01,0.0743740658658098,0.018121063034839804
11,4,tanh,0.1,True,0.02,0.06870918384213838,0.008532004773343916
11,4,tanh,0.1,True,0.03,0.0690488599849897,0.016980989595964096
11,4,swish,0.0,True,0.01,0.06103013279200864,0.017898401900134864
11,4,swish,0.0,True,0.02,0.06502524220314876,0.0207721884964952
11,4,swish,0.0,True,0.03,0.06730285884789236,0.02199163727160841
11,4,swish,0.1,True,0.01,0.07096889209041288,0.02267592890229348
11,4,swish,0.1,True,0.02,0.06338719918437043,0.02590638712888828
11,4,swish,0.1,True,0.03,0.07464786417335753,0.027116718026473897
11,4,leakyrelu,0.0,True,0.01,0.0787792115772149,0.030354368994177018
11,4,leakyrelu,0.0,True,0.02,0.07366479203086065,0.0327522238706139
11,4,leakyrelu,0.0,True,0.03,0.08157797277133816,0.03508129939095503
11,4,leakyrelu,0.1,True,0.01,0.08927782190759134,0.015674640149965592
11,4,leakyrelu,0.1,True,0.02,0.07832558177937295,0.026303180833595032
11,4,leakyrelu,0.1,True,0.03,0.07010344415275525,0.024436004063093403
11,4,gelu,0.0,True,0.01,0.07918263601235767,0.030088304366826336
11,4,gelu,0.0,True,0.02,0.07566172507237309,0.03307890904097036
11,4,gelu,0.0,True,0.03,0.07188189083954648,0.032505421548330686
11,4,gelu,0.1,True,0.01,0.07438889218101462,0.014329352715163737
11,4,gelu,0.1,True,0.02,0.07062349246769531,0.012603479058542384
11,4,gelu,0.1,True,0.03,0.06442301803264919,0.024958530558835908
11,5,relu,0.0,True,0.01,0.09613443446562968,0.02600342327566124
11,5,relu,0.0,True,0.02,0.08811710798045372,0.028691222852059817
11,5,relu,0.0,True,0.03,0.08289455815034731,0.036349534383540036
11,5,relu,0.1,True,0.01,0.09554418100255292,0.025280295878132925
11,5,relu,0.1,True,0.02,0.08837014180091936,0.03792852037614253
11,5,relu,0.1,True,0.03,0.07659423847983513,0.0316857200866427
11,5,tanh,0.0,True,0.01,0.07244672263275506,0.013525081935424262
11,5,tanh,0.0,True,0.02,0.0657272414784994,0.012785194697261795
11,5,tanh,0.0,True,0.03,0.07043606470542771,0.01704071568179296
11,5,tanh,0.1,True,0.01,0.07287469233432275,0.016336941817800488
11,5,tanh,0.1,True,0.02,0.06824363955838747,0.018099350266820274
11,5,tanh,0.1,True,0.03,0.0733989335470503,0.018370046129184445
11,5,swish,0.0,True,0.01,0.06549882446017698,0.03298651928211745
11,5,swish,0.0,True,0.02,0.07126892536517493,0.03254604598515524
11,5,swish,0.0,True,0.03,0.05950176240912421,0.020824511620786544
11,5,swish,0.1,True,0.01,0.06827624797798575,0.02622131074095505
11,5,swish,0.1,True,0.02,0.06991472039519751,0.02179255521113906
11,5,swish,0.1,True,0.03,0.07137299451413184,0.02391462078107529
11,5,leakyrelu,0.0,True,0.01,0.08295216642246903,0.03015457862410505
11,5,leakyrelu,0.0,True,0.02,0.08087656263744156,0.03084206394925262
11,5,leakyrelu,0.0,True,0.03,0.06767788145166527,0.017962651562048876
11,5,leakyrelu,0.1,True,0.01,0.08427781115938357,0.025206029176001427
11,5,leakyrelu,0.1,True,0.02,0.08010193460452793,0.02209230261560549
11,5,leakyrelu,0.1,True,0.03,0.0661106861105559,0.017013979147203075
11,5,gelu,0.0,True,0.01,0.06883156944746205,0.021007547739311787
11,5,gelu,0.0,True,0.02,0.06303142219685011,0.02101717854654869
11,5,gelu,0.0,True,0.03,0.06254424853859099,0.012491257188653569
11,5,gelu,0.1,True,0.01,0.07971659272012366,0.019664338757281456
11,5,gelu,0.1,True,0.02,0.07587876155064557,0.026686537778865045
11,5,gelu,0.1,True,0.03,0.06689756047915854,0.013047512672194136
12,2,relu,0.0,True,0.01,0.07458348551547266,0.028244462993477482
12,2,relu,0.0,True,0.02,0.07696627373725615,0.02613936720763985
12,2,relu,0.0,True,0.03,0.0764323039882044,0.022039939751950042
12,2,relu,0.1,True,0.01,0.06967134491231229,0.017641009432861867
12,2,relu,0.1,True,0.02,0.07908324037999177,0.026582343200119925
12,2,relu,0.1,True,0.03,0.07196605762534937,0.021817025153376718
12,2,tanh,0.0,True,0.01,0.08997299996789923,0.022588227028033512
12,2,tanh,0.0,True,0.02,0.08257425337710292,0.030133242680367205
12,2,tanh,0.0,True,0.03,0.08191143893470784,0.03158830022695869
12,2,tanh,0.1,True,0.01,0.08681338199005015,0.029256414896177998
12,2,tanh,0.1,True,0.02,0.08703969826945332,0.02388943485629839
12,2,tanh,0.1,True,0.03,0.07672136521146207,0.023725860437603555
12,2,swish,0.0,True,0.01,0.06844976074753065,0.02031601833879201
12,2,swish,0.0,True,0.02,0.06870788352355575,0.018164740711843763
12,2,swish,0.0,True,0.03,0.063367137211584,0.0253569740495454
12,2,swish,0.1,True,0.01,0.07819400634062218,0.02457467418416811
12,2,swish,0.1,True,0.02,0.06330791340415079,0.015325812515863657
12,2,swish,0.1,True,0.03,0.0649417438097768,0.013130229095424537
