hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
24,2,swish,0.0,True,0.01,0.06737974505525213,0.016218615898520496
24,2,swish,0.0,True,0.02,0.07006100938414847,0.01763184611387745
24,2,swish,0.1,True,0.01,0.0777744245646763,0.01991276821295917
24,2,swish,0.1,True,0.02,0.07008417920555814,0.017739007744216682
24,2,leakyrelu,0.0,True,0.01,0.08069395005598788,0.020258399164945817
24,2,leakyrelu,0.0,True,0.02,0.07543893812548029,0.02972211379218272
24,2,leakyrelu,0.1,True,0.01,0.09390972632323702,0.02734191869976459
24,2,leakyrelu,0.1,True,0.02,0.0863032759661628,0.02919547141836092
24,2,gelu,0.0,True,0.01,0.06762281055889874,0.014234014674548972
24,2,gelu,0.0,True,0.02,0.06656149286383604,0.023918569620642843
24,2,gelu,0.1,True,0.01,0.0812050327530459,0.02318776865862424
24,2,gelu,0.1,True,0.02,0.08155732692925034,0.020277299689532777
24,3,relu,0.0,True,0.01,0.08594517721257082,0.026047907211756826
24,3,relu,0.0,True,0.02,0.08200798609187335,0.03172521905261187
24,3,relu,0.1,True,0.01,0.09294742978312864,0.01918348985339324
24,3,relu,0.1,True,0.02,0.07979202003629075,0.01849148235785473
24,3,tanh,0.0,True,0.01,0.08865905809102195,0.03202231571406424
24,3,tanh,0.0,True,0.02,0.08523618291549581,0.03346186343332184
24,3,tanh,0.1,True,0.01,0.1004203776739862,0.022261466344887192
24,3,tanh,0.1,True,0.02,0.09542107734803316,0.024455063026876958
24,3,swish,0.0,True,0.01,0.06392552507527025,0.013509808629997505
24,3,swish,0.0,True,0.02,0.06487687254446205,0.02278819071207451
24,3,swish,0.1,True,0.01,0.08140088201599815,0.027743162626893792
24,3,swish,0.1,True,0.02,0.07339671004708193,0.021511635116172486
24,3,leakyrelu,0.0,True,0.01,0.08121683273563854,0.03907640741113797
24,3,leakyrelu,0.0,True,0.02,0.07372195919195967,0.02404122702755085
24,3,leakyrelu,0.1,True,0.01,0.09305319736708877,0.02211755648339927
24,3,leakyrelu,0.1,True,0.02,0.07638389919666537,0.025210164863358118
24,3,gelu,0.0,True,0.01,0.07532547525027368,0.02207768713070583
24,3,gelu,0.0,True,0.02,0.06734541064576145,0.021097133128440502
24,3,gelu,0.1,True,0.01,0.08224901547450614,0.021408485742309923
24,3,gelu,0.1,True,0.02,0.07929625295972106,0.03283601208449523
24,4,relu,0.0,True,0.01,0.0751782269308652,0.02288725770286127
24,4,relu,0.0,True,0.02,0.08204689056189089,0.026599226479444543
24,4,relu,0.1,True,0.01,0.0910571674253609,0.019978221785607816
24,4,relu,0.1,True,0.02,0.07765009552372408,0.025848716745822658
24,4,tanh,0.0,True,0.01,0.08506425660151745,0.027598723018956425
24,4,tanh,0.0,True,0.02,0.07985677318570711,0.025168388972961656
24,4,tanh,0.1,True,0.01,0.0811105829972306,0.02701907407345373
24,4,tanh,0.1,True,0.02,0.08167011577795849,0.029077399866292576
24,4,swish,0.0,True,0.01,0.06778170378308702,0.02413541704700961
24,4,swish,0.0,True,0.02,0.06923040273187189,0.02640354121873428
24,4,swish,0.1,True,0.01,0.07653589871158427,0.015570352040719337
24,4,swish,0.1,True,0.02,0.06625011675206385,0.0248165857252116
24,4,leakyrelu,0.0,True,0.01,0.08368713603178031,0.03146417127900071
24,4,leakyrelu,0.0,True,0.02,0.07927723801580608,0.030791029480304825
24,4,leakyrelu,0.1,True,0.01,0.07958906103435266,0.02285827046410754
24,4,leakyrelu,0.1,True,0.02,0.08526441516565753,0.025341494908330844
24,4,gelu,0.0,True,0.01,0.0786907930834131,0.030258200735260518
24,4,gelu,0.0,True,0.02,0.06582472975508577,0.024904527731020656
24,4,gelu,0.1,True,0.01,0.077103762123033,0.023468951791519376
24,4,gelu,0.1,True,0.02,0.0753417735825813,0.02906538054625945
28,2,relu,0.0,True,0.01,0.08768268777702211,0.02897638550852432
28,2,relu,0.0,True,0.02,0.08593000701427231,0.029472635092979368
28,2,relu,0.1,True,0.01,0.08252738090031267,0.023360365123976747
28,2,relu,0.1,True,0.02,0.07589232077251512,0.026180127292562128
28,2,tanh,0.0,True,0.01,0.08610226091647316,0.02975606502230957
28,2,tanh,0.0,True,0.02,0.07525929414915683,0.03100213182107374
28,2,tanh,0.1,True,0.01,0.10214940263176807,0.025750093687776348
28,2,tanh,0.1,True,0.02,0.0941054954791682,0.029748472596750505
28,2,swish,0.0,True,0.01,0.0720792615595848,0.01879976095177802
28,2,swish,0.0,True,0.02,0.07097797827062992,0.021858281032821697
28,2,swish,0.1,True,0.01,0.0796498412719052,0.021635003570464214
28,2,swish,0.1,True,0.02,0.06773447636640542,0.016666345529222016
28,2,leakyrelu,0.0,True,0.01,0.08020358103071686,0.03307482096912532
28,2,leakyrelu,0.0,True,0.02,0.07711856536112162,0.02989891244560135
28,2,leakyrelu,0.1,True,0.01,0.08457625354220304,0.018993842102622838
28,2,leakyrelu,0.1,True,0.02,0.0781460592931644,0.020356986440790655
