loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps
absolute,onehot,31,4,swish,0.2,True,0.0244735328509236,0.0551044021237561,0.0159948600124678,adam,True,
absolute,onehot,35,4,tanh,0.2,True,0.0328240989175223,0.0692540157030017,0.0103864464721796,adam,True,
absolute,onehot,34,5,mish,0.0,True,0.0461078629242178,0.0623182102683147,0.0115861754055721,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0374522409236917,0.0601178875055999,0.0141729766296606,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0410838812080833,0.05774357126798,0.0122928705682309,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0364130812937422,0.0605415217135295,0.0087572997590311,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.0492915861403638,0.0598141191275765,0.0105365189567348,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0312878959183349,0.0530399093656774,0.0095253368319063,adam,True,
absolute,onehot,35,3,mish,0.2,True,0.0315614145291464,0.0542756125825839,0.0163132355110795,adam,True,
absolute,onehot,35,3,mish,0.2,True,0.0321500226679312,0.0599523768327111,0.0209099413869354,adam,True,
absolute,onehot,36,3,mish,0.2,True,0.0033477858396709,0.064686146784674,0.018932519574216,adam,True,
absolute,onehot,35,3,mish,0.2,True,0.0263476813440489,0.0560607323439262,0.0240296823698886,adam,True,
absolute,onehot,36,3,mish,0.2,True,0.0348510824911391,0.0568277807698343,0.0142185801377124,adam,True,
absolute,onehot,34,3,mish,0.2,True,0.0292968030781937,0.0594269014069104,0.0260861546856705,adam,True,
absolute,onehot,34,4,gelu,0.2,True,0.0433585177865091,0.0594988851008212,0.014981830431813,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0227287241192131,0.0542304671725992,0.021205747685907,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0370320546021832,0.0545955983034454,0.012504796329974,adam,True,
absolute,onehot,36,4,mish,0.2,True,0.0234533618648624,0.0570748870062172,0.0161033556287675,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.03292327124139,0.0522776978300957,0.0111948898581254,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0309943769573113,0.0582721439074174,0.0249788078268471,adam,True,
absolute,onehot,36,3,leakyrelu,0.2,True,0.0271564337753033,0.0659905763599406,0.0224054203273707,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0347841691859717,0.0470557501525717,0.0120376340333313,adam,True,
absolute,onehot,34,4,mish,0.1,True,0.0340611056080569,0.0536038345906691,0.01717519929489,adam,True,
absolute,onehot,34,4,mish,0.1,True,0.0346765079241272,0.0529716725908112,0.0200612610424752,adam,True,
absolute,onehot,34,4,mish,0.1,True,0.0391433120759878,0.0606207356600953,0.0214578083076182,adam,True,
