prior_mode,forward_method,tau_fixed_value,loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps,seed,ode_method,ode_rtol,ode_atol,cf_beta_eps,cf_blend_k,cf_base_softplus
tau_fixed,closed_form,1.0,absolute,continuous,23,5,gelu,0.0,True,0.007323696873827125,0.03972121067345143,0.009352097651467543,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,34,5,gelu,0.0,True,0.004283904457658556,0.045731055364012715,0.01519615539843827,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,27,5,gelu,0.0,True,0.002192175101611848,0.04048733226954937,0.016230753922315416,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,30,5,gelu,0.0,True,0.002827330208441265,0.04385152235627175,0.019774295646143063,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,24,3,swish,0.0,True,0.0036868709675942813,0.047263677790761,0.015445586851958284,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,22,5,gelu,0.0,True,0.0033087927878184217,0.04086420461535454,0.014932988565620304,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,49,2,gelu,0.0,True,0.002366499147515205,0.051633299142122266,0.012877533074836573,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,30,5,gelu,0.1,True,0.004629196577878571,0.044348584860563284,0.0014984285442780295,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,32,5,gelu,0.0,True,0.0018786447287092148,0.04004606381058693,0.0087476796743253,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,5,gelu,0.0,True,0.009887165098254241,0.04290749169886112,0.01172257174321754,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,gelu,0.0,True,0.002151223113083195,0.03785617128014565,0.007423878400350676,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,gelu,0.0,True,0.002518475221763527,0.0370369378477335,0.007286662699362988,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,gelu,0.0,True,0.002087538992138413,0.04422980695962906,0.014005638178552887,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,23,5,gelu,0.0,True,0.0024840820590475536,0.047908907383680345,0.014518819539199968,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,18,5,gelu,0.2,True,0.003230039413343806,0.05229658335447311,0.010200490210538718,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,leakyrelu,0.0,True,0.0028353511579745885,0.046827576309442516,0.00916273070993583,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,22,5,gelu,0.0,True,0.018653176492913103,0.049512590467929836,0.019293131227307584,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,26,5,gelu,0.0,True,0.01687564999566664,0.04216579906642437,0.008670029636557938,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,27,5,gelu,0.0,True,0.0022994807219152377,0.04028926119208336,0.007180143915555009,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,56,5,gelu,0.0,True,0.002606157063020689,0.04256994239985943,0.017993921298459482,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,29,5,gelu,0.0,True,0.0021046124946080755,0.04308658801019192,0.01594720958927611,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,54,5,gelu,0.0,True,0.001900134817614264,0.05424334220588208,0.022815567645324428,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,20,5,gelu,0.0,True,0.003619829120355264,0.040120299905538566,0.005795732993649206,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,26,5,gelu,0.0,True,0.0027889127944880033,0.03900672271847725,0.008598701531967777,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,24,3,swish,0.0,True,0.001569826119459283,0.04965506717562675,0.018091775282507702,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,29,2,gelu,0.0,True,0.0039735267784566574,0.050096216797828684,0.014117964042665956,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,51,5,gelu,0.0,True,0.002243586466519814,0.04444343186914921,0.020674858735744813,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,24,5,gelu,0.0,True,0.002551551209353279,0.03749313540756703,0.008448311154712134,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,20,5,gelu,0.0,True,0.0025761271706269155,0.041084254533052436,0.005293286610642135,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,gelu,0.0,True,0.003071324077748425,0.04401074349880218,0.015214412047244224,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,27,5,gelu,0.0,True,0.0034250137874565537,0.04573959186673164,0.017607680397540557,adamw,False,,1,,,,0.001,6.0,True
